model_name	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
H3K4me1_train_all_Test	Dl15	2000	eve	3	2	50	50	50	50
H3K4me1_train_all_Test	Dl15	2000	hb	2	2	50	50	50	50
H3K4me1_train_all_Test	Dl15	2000	Kr	2	2	50	50	50	50
Dl_chip_Test	Dl15	2000	brk	4	3.2	36.6666666667	36.6666666667	36.6666666667	63.3333333333
Dl_chip_Test	Dl15	2000	sog	2	1.9	45	45	45	55
Dl_chip_Test	Dl15	2000	rho	1	1	100	100	100	0
Dl_chip_Test	Dl15	2000	Kni	3	2.9	0	0	0	100
Dl_chip_Test	Dl15	2000	vnd	2	1.9	100	100	100	0
Dl_chip_Test	Dl15	2000	sna	6	5.7	33.6666666667	33.6666666667	33.6666666667	66.3333333333
Dl_chip_Test	Dl15	2000	eve	3	2.3	45	45	45	55
Dl_chip_Test	Dl15	2000	hb	2	2	50	50	50	50
Dl_chip_Test	Dl15	2000	Kr	2	2	50	50	50	50
Dl15_train_all_Test	Dl15	2000	brk	4	2	50	50	50	50
Dl15_train_all_Test	Dl15	2000	sog	2	1.5	75	75	75	25
Dl15_train_all_Test	Dl15	2000	rho	1	1	100	100	100	0
Dl15_train_all_Test	Dl15	2000	Kni	3	2.3	0	0	0	100
Dl15_train_all_Test	Dl15	2000	vnd	2	2	100	100	100	0
Dl15_train_all_Test	Dl15	2000	sna	6	3.7	56.6666666667	56.6666666667	56.6666666667	43.3333333333
Dl15_train_all_Test	Dl15	2000	eve	3	2	50	50	50	50
Dl15_train_all_Test	Dl15	2000	hb	2	2	50	50	50	50
Dl15_train_all_Test	Dl15	2000	Kr	2	2	50	50	50	50
Zld_train_all_Test	Dl15	2000	brk	4	1.8	40	40	40	60
Zld_train_all_Test	Dl15	2000	sog	2	2	50	50	50	50
Zld_train_all_Test	Dl15	2000	rho	1	1	100	100	100	0
Zld_train_all_Test	Dl15	2000	Kni	3	2.5	0	0	0	100
Zld_train_all_Test	Dl15	2000	vnd	2	2	100	100	100	0
Zld_train_all_Test	Dl15	2000	sna	6	3.2	66.6666666667	66.6666666667	66.6666666667	33.3333333333
Zld_train_all_Test	Dl15	2000	eve	3	2	50	50	50	50
Zld_train_all_Test	Dl15	2000	hb	2	2	50	50	50	50
Zld_train_all_Test	Dl15	2000	Kr	2	2	50	50	50	50
Dl_Twi_Test	Dl15	2000	brk	4	3.9	25.8333333333	25.8333333333	25.8333333333	74.1666666667
Dl_Twi_Test	Dl15	2000	sog	2	1.7	45	45	45	55
Dl_Twi_Test	Dl15	2000	rho	1	1	100	100	100	0
