model_name	model_type	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
Dl_Twi_chip_balance	Balanced	Dl09	1000	Kr	7	4.7	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	1000	Kni	5	2	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	1000	brk	11	4.7	16.7063492063	16.7063492063	16.7063492063	73.2936507937
Dl_Twi_chip_balance	Balanced	Zld	2000	eve	6	3.9	0	0	0	100
Dl_Twi_chip_balance	Balanced	Zld	1500	Kni	4	2.7	31.6666666667	31.6666666667	31.6666666667	58.3333333333
Dl_Twi_chip_balance	Balanced	Dl15	1000	Kni	4	2.8	0	0	0	90
Dl_Twi_chip_balance	Balanced	Zld	500	sog	4	2.9	37.5	37.5	37.5	62.5
Dl_Twi_chip_balance	Balanced	Dl09	1500	hb	9	3.4	26.8333333333	26.8333333333	26.8333333333	63.1666666667
Dl_Twi_chip_balance	Balanced	Zld	2000	Kr	10	7.5	23.2936507937	23.2936507937	23.2936507937	76.7063492063
Dl_Twi_chip_balance	Balanced	Zld	1000	sog	4	2.9	41.6666666667	41.6666666667	41.6666666667	58.3333333333
Dl_Twi_chip_balance	Balanced	Dl09	2000	Kr	7	4.5	0	0	0	100
Dl_Twi_chip_balance	Balanced	Zld	2000	sna	8	5.2	22.9761904762	22.9761904762	22.9761904762	77.0238095238
Dl_Twi_chip_balance	Balanced	Twi14	2000	brk	7	2.8	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	500	Kr	13	6.7	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	2000	sog	3	2	63.3333333333	63.3333333333	63.3333333333	26.6666666667
Dl_Twi_chip_balance	Balanced	Twi14	2000	eve	6	3.7	24.1666666667	24.1666666667	24.1666666667	65.8333333333
Dl_Twi_chip_balance	Balanced	Zld	2000	rho	6	3.2	0	0	0	90
Dl_Twi_chip_balance	Balanced	Zld	1500	rho	7	4.7	25.1904761905	25.1904761905	25.1904761905	74.8095238095
Dl_Twi_chip_balance	Balanced	Dl15	2000	rho	1	0.9	90	90	90	0
Dl_Twi_chip_balance	Balanced	Dl09	1500	rho	6	3.2	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl09	1500	sna	6	3.2	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl15	1500	rho	2	1.7	50	50	50	40
Dl_Twi_chip_balance	Balanced	Dl09	2000	brk	6	3.2	6.1666666667	6.1666666667	6.1666666667	83.8333333333
Dl_Twi_chip_balance	Balanced	Zld	500	Kni	5	2.4	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl15	1500	vnd	2	1.3	45	45	45	35
Dl_Twi_chip_balance	Balanced	Zld	2000	Kni	3	1.9	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl09	2000	eve	4	2.3	0	0	0	80
Dl_Twi_chip_balance	Balanced	Dl15	500	sog	3	2.1	0	0	0	100
Dl_Twi_chip_balance	Balanced	Zld	500	rho	8	5.3	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl15	500	brk	5	2.5	0	0	0	100
Dl_Twi_chip_balance	Balanced	Zld	1500	vnd	5	3.2	0	0	0	90
Dl_Twi_chip_balance	Balanced	Zld	1000	hb	6	2.5	45.8333333333	45.8333333333	45.8333333333	54.1666666667
Dl_Twi_chip_balance	Balanced	Zld	1000	Kni	4	2.8	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	2000	rho	3	1.8	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl09	500	brk	6	3.2	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl09	1500	sog	3	1.9	21.6666666667	21.6666666667	21.6666666667	58.3333333333
Dl_Twi_chip_balance	Balanced	Zld	500	brk	9	5.3	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	500	Kni	5	1.8	0	0	0	80
