model_name	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
All_Data_Test	Zld	2000	brk	7	4.9	31.1666666667	31.1666666667	31.1666666667	68.8333333333
All_Data_Test	Zld	2000	hb	6	3.4	30.8333333333	30.8333333333	30.8333333333	69.1666666667
H3K4me1_train_all_Test	Zld	2000	vnd	4	0	0	0	0	0
H3K4me1_train_all_Test	Zld	2000	eve	6	3.5	0	0	0	100
H3K4me1_train_all_Test	Zld	2000	Kr	10	2	100	100	100	0
H3K4me1_train_all_Test	Zld	2000	sna	8	2.8	75	75	75	25
H3K4me1_train_all_Test	Zld	2000	rho	6	1	0	0	0	80
H3K4me1_train_all_Test	Zld	2000	Kni	3	1.7	0	0	0	100
H3K4me1_train_all_Test	Zld	2000	sog	3	2	50	50	50	50
H3K4me1_train_all_Test	Zld	2000	brk	7	1.9	100	100	100	0
H3K4me1_train_all_Test	Zld	2000	hb	6	2	50	50	50	50
Dl_chip_Test	Zld	2000	vnd	4	3.2	32.5	32.5	32.5	67.5
Dl_chip_Test	Zld	2000	eve	6	4.7	0	0	0	100
Dl_chip_Test	Zld	2000	Kr	10	8.1	25.0396825397	25.0396825397	25.0396825397	74.9603174603
Dl_chip_Test	Zld	2000	sna	8	6.8	30.4761904762	30.4761904762	30.4761904762	69.5238095238
Dl_chip_Test	Zld	2000	rho	6	3.1	0	0	0	100
Dl_chip_Test	Zld	2000	Kni	3	2.4	0	0	0	100
Dl_chip_Test	Zld	2000	sog	3	2.5	35	35	35	65
Dl_chip_Test	Zld	2000	brk	7	5.1	37.6666666667	37.6666666667	37.6666666667	62.3333333333
Dl_chip_Test	Zld	2000	hb	6	4.1	24.5	24.5	24.5	75.5
Dl15_train_all_Test	Zld	2000	vnd	4	0.9	90	90	90	0
Dl15_train_all_Test	Zld	2000	eve	6	3.8	0	0	0	100
Dl15_train_all_Test	Zld	2000	Kr	10	2	100	100	100	0
Dl15_train_all_Test	Zld	2000	sna	8	3.8	53.3333333333	53.3333333333	53.3333333333	46.6666666667
Dl15_train_all_Test	Zld	2000	rho	6	1.4	0	0	0	100
Dl15_train_all_Test	Zld	2000	Kni	3	2	0	0	0	100
Dl15_train_all_Test	Zld	2000	sog	3	1.8	63.3333333333	63.3333333333	63.3333333333	36.6666666667
Dl15_train_all_Test	Zld	2000	brk	7	2	100	100	100	0
Dl15_train_all_Test	Zld	2000	hb	6	2	50	50	50	50
Zld_train_all_Test	Zld	2000	vnd	4	0.8	80	80	80	0
Zld_train_all_Test	Zld	2000	eve	6	3.8	0	0	0	100
Zld_train_all_Test	Zld	2000	Kr	10	2.2	93.3333333333	93.3333333333	93.3333333333	6.6666666667
Zld_train_all_Test	Zld	2000	sna	8	3.4	60	60	60	40
Zld_train_all_Test	Zld	2000	rho	6	1.7	0	0	0	100
Zld_train_all_Test	Zld	2000	Kni	3	2	0	0	0	100
Zld_train_all_Test	Zld	2000	sog	3	2	50	50	50	50
