model	gene	Percentage_overlap	Percentage_off_target
Dl_Twi_chip_balance_Twi14_500	Kni	0	80
Dl_Twi_chip_balance_Dl15_1000	hb	27.5	62.5
Dl_Twi_chip_balance_Dl15_2000	Kni	0	90
Dl_Twi_chip_balance_Dl09_1500	brk	0	90
Dl_Twi_chip_balance_Twi14_2000	Kni	0	100
Dl_Twi_chip_balance_Dl15_2000	vnd	80	0
Dl_Twi_chip_balance_Dl15_1000	vnd	45	35
Dl_Twi_chip_balance_Dl09_2000	Kni	0	80
Dl_Twi_chip_balance_Dl09_500	eve	0	80
Dl_Twi_chip_balance_Dl09_500	rho	0	100
Dl_Twi_chip_balance_Twi14_2000	Kr	12.2182539683	87.7817460317
Dl_Twi_chip_balance_Dl15_500	hb	0	90
Dl_Twi_chip_balance_Dl15_2000	sna	32	68
Dl_Twi_chip_balance_Zld_500	Kr	0	100
Dl_Twi_chip_balance_Twi14_500	sna	0	100
Dl_Twi_chip_balance_Zld_1500	sog	26.6666666667	53.3333333333
Dl_Twi_chip_balance_Dl09_500	Kr	0	100
Dl_Twi_chip_balance_Dl09_1000	brk	0	90
Dl_Twi_chip_balance_Dl15_1500	sna	14	86
Dl_Twi_chip_balance_Zld_1500	brk	14.9166666667	75.0833333333
Dl_Twi_chip_balance_Zld_1500	eve	0	100
Dl_Twi_chip_balance_Dl15_500	rho	0	90
Dl_Twi_chip_balance_Zld_1000	eve	0	90
Dl_Twi_chip_balance_Twi14_2000	hb	51.6666666667	48.3333333333
Dl_Twi_chip_balance_Dl15_500	eve	0	90
Dl_Twi_chip_balance_Dl09_1000	Kni	0	80
Dl_Twi_chip_balance_Twi14_1500	rho	31.6666666667	58.3333333333
Dl_Twi_chip_balance_Dl09_1000	sog	21.6666666667	58.3333333333
Dl_Twi_chip_balance_Dl15_2000	eve	33.3333333333	56.6666666667
Dl_Twi_chip_balance_Dl15_2000	hb	65	35
Dl_Twi_chip_balance_Zld_1000	brk	17.2619047619	72.7380952381
Dl_Twi_chip_balance_Dl15_1500	eve	54.3333333333	35.6666666667
Dl_Twi_chip_balance_Twi14_2000	sna	25.5714285714	74.4285714286
Dl_Twi_chip_balance_Zld_500	eve	0	90
Dl_Twi_chip_balance_Zld_2000	sog	21.6666666667	58.3333333333
Dl_Twi_chip_balance_Dl09_2000	sna	13	77
Dl_Twi_chip_balance_Zld_1500	sna	21.880952381	78.119047619
Dl_Twi_chip_balance_Dl09_1500	Kni	0	80
Dl_Twi_chip_balance_Zld_500	hb	0	100
Dl_Twi_chip_balance_Zld_2000	brk	23.6904761905	66.3095238095
Dl_Twi_chip_balance_Dl15_2000	Kr	45	45
Dl_Twi_chip_balance_Dl15_500	sna	0	100
Dl_Twi_chip_balance_Dl15_1000	sna	0	100
Dl_Twi_chip_balance_Twi14_500	eve	0	100
Dl_Twi_chip_balance_Dl09_1000	sna	0	90
Dl_Twi_chip_balance_Zld_2000	hb	32.6666666667	67.3333333333
All_Data_Test_Zld_500	vnd	0	100
All_Data_Test_Twi14_500	rho	0	100
All_Data_Test_Twi14_1000	eve	27.1904761905	72.8095238095
All_Data_Test_Dl15_1500	brk	31.6666666667	68.3333333333
All_Data_Test_Dl15_1000	rho	80	20
All_Data_Test_Dl15_500	vnd	0	90
All_Data_Test_Dl15_2000	brk	24.1666666667	75.8333333333
All_Data_Test_Dl09_500	sna	0	100
All_Data_Test_Twi14_1500	sna	19.0952380952	80.9047619048
All_Data_Test_Dl09_2000	hb	33.3333333333	66.6666666667
All_Data_Test_Dl09_500	hb	0	100
All_Data_Test_Dl09_2000	rho	0	100
All_Data_Test_Twi14_1000	sog	86.6666666667	13.3333333333
All_Data_Test_Zld_1000	Kr	0	100
All_Data_Test_Twi14_1500	Kr	17.0476190476	82.9523809524
All_Data_Test_Dl15_500	Kr	0	100
All_Data_Test_Dl09_1000	vnd	0	60
All_Data_Test_Twi14_1000	vnd	21	79
All_Data_Test_Twi14_1500	brk	18.7857142857	81.2142857143
All_Data_Test_Dl09_1500	vnd	0	60
All_Data_Test_Dl15_1500	hb	75	25
All_Data_Test_Dl09_500	Kni	0	40
All_Data_Test_Dl15_500	Kni	0	100
All_Data_Test_Twi14_500	sog	0	100
All_Data_Test_Dl15_1000	Kr	0	100
All_Data_Test_Dl15_2000	sog	50	40
All_Data_Test_Twi14_500	vnd	0	100
All_Data_Test_Twi14_1500	sog	75	15
All_Data_Test_Twi14_1500	Kni	0	100
All_Data_Test_Twi14_1000	hb	30	70
All_Data_Test_Twi14_1500	eve	0	100
All_Data_Test_Twi14_1000	sna	0	100
All_Data_Test_Twi14_1500	hb	35.8333333333	64.1666666667
All_Data_Test_Zld_1000	sna	19.0952380952	80.9047619048
All_Data_Test_Dl15_1500	sog	83.3333333333	6.6666666667
All_Data_Test_Zld_2000	vnd	37.5	62.5
All_Data_Test_Dl09_1500	Kr	0	100
All_Data_Test_Dl15_1500	Kni	20.8333333333	79.1666666667
All_Data_Test_Zld_500	sna	0	100
All_Data_Test_Dl15_1000	sog	93.3333333333	6.6666666667
All_Data_Test_Dl15_1000	eve	76.6666666667	23.3333333333
All_Data_Test_Dl09_1000	eve	0	100
All_Data_Test_Twi14_1000	Kr	0	100
All_Data_Test_Dl09_2000	sog	28.3333333333	71.6666666667
All_Data_Test_Dl09_2000	vnd	0	60
All_Data_Test_Dl15_1000	brk	0	100
All_Data_Test_Twi14_500	hb	0	100
All_Data_Test_Dl09_1500	eve	0	100
All_Data_Test_Dl15_1500	Kr	50	50
All_Data_Test_Zld_1000	rho	0	100
All_Data_Test_Zld_1500	hb	44.1666666667	55.8333333333
