model	gene	Percentage_overlap	Percentage_off_target
H3K4me1_train_all_Test_Dl15_1000	eve	72.5	27.5
H3K4me1_train_all_Test_Dl09_1000	eve	0	90
H3K4me1_train_all_Test_Twi14_1000	Kr	0	100
H3K4me1_train_all_Test_Dl09_2000	sog	46.6666666667	53.3333333333
H3K4me1_train_all_Test_Dl09_2000	vnd	0	100
H3K4me1_train_all_Test_Dl15_1000	brk	0	100
H3K4me1_train_all_Test_Twi14_500	hb	0	100
H3K4me1_train_all_Test_Dl09_1500	eve	0	100
H3K4me1_train_all_Test_Dl15_1500	Kr	50	50
H3K4me1_train_all_Test_Zld_1000	rho	0	90
H3K4me1_train_all_Test_Zld_1500	hb	50	50
H3K4me1_train_all_Test_Twi14_2000	vnd	100	0
H3K4me1_train_all_Test_Dl09_500	vnd	0	100
H3K4me1_train_all_Test_Twi14_500	brk	0	100
H3K4me1_train_all_Test_Zld_1500	Kr	50	50
H3K4me1_train_all_Test_Dl09_1000	rho	0	100
H3K4me1_train_all_Test_Twi14_1000	rho	0	90
H3K4me1_train_all_Test_Twi14_1500	vnd	100	0
H3K4me1_train_all_Test_Dl09_1000	hb	38.3333333333	61.6666666667
H3K4me1_train_all_Test_Dl09_500	sog	0	100
H3K4me1_train_all_Test_Zld_1000	vnd	0	100
H3K4me1_train_all_Test_Dl09_1000	Kr	0	100
H3K4me1_train_all_Test_Twi14_1000	Kni	0	100
H3K4me1_train_all_Test_Twi14_1000	brk	38.3333333333	61.6666666667
H3K4me1_train_all_Test_Zld_2000	eve	0	100
H3K4me1_train_all_Test_Zld_1500	Kni	40	60
H3K4me1_train_all_Test_Dl15_1000	Kni	0	100
H3K4me1_train_all_Test_Zld_500	sog	41.6666666667	58.3333333333
H3K4me1_train_all_Test_Dl09_1500	hb	36.6666666667	63.3333333333
H3K4me1_train_all_Test_Zld_2000	Kr	100	0
H3K4me1_train_all_Test_Zld_1000	sog	45	55
H3K4me1_train_all_Test_Dl09_2000	Kr	0	100
H3K4me1_train_all_Test_Zld_2000	sna	75	25
H3K4me1_train_all_Test_Twi14_2000	brk	0	100
H3K4me1_train_all_Test_Twi14_500	Kr	0	100
H3K4me1_train_all_Test_Twi14_2000	sog	100	0
H3K4me1_train_all_Test_Twi14_2000	eve	41.6666666667	58.3333333333
H3K4me1_train_all_Test_Zld_2000	rho	0	80
H3K4me1_train_all_Test_Zld_1500	rho	90	0
H3K4me1_train_all_Test_Dl15_2000	rho	100	0
H3K4me1_train_all_Test_Dl09_1500	rho	0	100
H3K4me1_train_all_Test_Dl09_1500	sna	0	100
H3K4me1_train_all_Test_Dl15_1500	rho	90	0
H3K4me1_train_all_Test_Dl09_2000	brk	75	25
H3K4me1_train_all_Test_Zld_500	Kni	0	100
H3K4me1_train_all_Test_Dl15_1500	vnd	100	0
H3K4me1_train_all_Test_Zld_2000	Kni	0	100
H3K4me1_train_all_Test_Dl09_2000	eve	0	90
H3K4me1_train_all_Test_Dl15_500	sog	0	100
H3K4me1_train_all_Test_Zld_500	rho	0	70
H3K4me1_train_all_Test_Dl15_500	brk	0	100
H3K4me1_train_all_Test_Zld_1500	vnd	0	100
H3K4me1_train_all_Test_Zld_1000	hb	50	50
H3K4me1_train_all_Test_Zld_1000	Kni	0	100
H3K4me1_train_all_Test_Twi14_2000	rho	0	100
H3K4me1_train_all_Test_Dl09_500	brk	0	100
H3K4me1_train_all_Test_Dl09_1500	sog	45	55
H3K4me1_train_all_Test_Zld_500	brk	0	100
H3K4me1_train_all_Test_Twi14_500	Kni	0	100
H3K4me1_train_all_Test_Dl15_1000	hb	33.3333333333	66.6666666667
H3K4me1_train_all_Test_Dl15_2000	Kni	0	100
H3K4me1_train_all_Test_Dl09_1500	brk	0	100
H3K4me1_train_all_Test_Twi14_2000	Kni	0	100
H3K4me1_train_all_Test_Dl15_2000	vnd	100	0
H3K4me1_train_all_Test_Dl15_1000	vnd	100	0
H3K4me1_train_all_Test_Dl09_2000	Kni	0	100
H3K4me1_train_all_Test_Dl09_500	eve	0	90
H3K4me1_train_all_Test_Dl09_500	rho	0	100
H3K4me1_train_all_Test_Twi14_2000	Kr	95	5
H3K4me1_train_all_Test_Dl15_500	hb	0	100
H3K4me1_train_all_Test_Dl15_2000	sna	76.6666666667	23.3333333333
H3K4me1_train_all_Test_Zld_500	Kr	0	100
H3K4me1_train_all_Test_Twi14_500	sna	0	100
H3K4me1_train_all_Test_Zld_1500	sog	45	55
H3K4me1_train_all_Test_Dl09_500	Kr	0	100
H3K4me1_train_all_Test_Dl09_1000	brk	0	100
H3K4me1_train_all_Test_Dl15_1500	sna	48.3333333333	51.6666666667
H3K4me1_train_all_Test_Zld_1500	brk	50	50
H3K4me1_train_all_Test_Zld_1500	eve	0	100
H3K4me1_train_all_Test_Dl15_500	rho	0	80
H3K4me1_train_all_Test_Zld_1000	eve	0	100
H3K4me1_train_all_Test_Twi14_2000	hb	50	50
H3K4me1_train_all_Test_Dl15_500	eve	0	100
H3K4me1_train_all_Test_Dl09_1000	Kni	0	100
H3K4me1_train_all_Test_Twi14_1500	rho	80	10
H3K4me1_train_all_Test_Dl09_1000	sog	41.6666666667	58.3333333333
H3K4me1_train_all_Test_Dl15_2000	eve	50	50
H3K4me1_train_all_Test_Dl15_2000	hb	50	50
H3K4me1_train_all_Test_Zld_1000	brk	55	45
H3K4me1_train_all_Test_Dl15_1500	eve	72.5	27.5
H3K4me1_train_all_Test_Twi14_2000	sna	75	25
H3K4me1_train_all_Test_Zld_500	eve	0	100
H3K4me1_train_all_Test_Zld_2000	sog	50	50
H3K4me1_train_all_Test_Dl09_2000	sna	50	50
H3K4me1_train_all_Test_Zld_1500	sna	93.3333333333	6.6666666667
H3K4me1_train_all_Test_Dl09_1500	Kni	0	100
H3K4me1_train_all_Test_Zld_500	hb	0	100
H3K4me1_train_all_Test_Zld_2000	brk	100	0
H3K4me1_train_all_Test_Dl15_2000	Kr	50	50
H3K4me1_train_all_Test_Dl15_500	sna	0	100
H3K4me1_train_all_Test_Dl15_1000	sna	0	100
H3K4me1_train_all_Test_Twi14_500	eve	0	100
H3K4me1_train_all_Test_Dl09_1000	sna	0	100
H3K4me1_train_all_Test_Zld_2000	hb	50	50
allData_balance_Test_Zld_500	vnd	0	100
allData_balance_Test_Twi14_500	rho	0	100
allData_balance_Test_Twi14_1000	eve	21.1666666667	78.8333333333
allData_balance_Test_Dl15_1500	brk	25	75
allData_balance_Test_Dl15_1000	rho	50	50
allData_balance_Test_Dl15_500	vnd	0	100
allData_balance_Test_Dl15_2000	brk	25	75
allData_balance_Test_Dl09_500	sna	0	100
allData_balance_Test_Twi14_1500	sna	12.5	87.5
allData_balance_Test_Dl09_2000	hb	19.5	80.5
allData_balance_Test_Dl09_500	hb	0	100
allData_balance_Test_Dl09_2000	rho	0	100
allData_balance_Test_Twi14_1000	sog	66.6666666667	33.3333333333
allData_balance_Test_Zld_1000	Kr	0	100
allData_balance_Test_Twi14_1500	Kr	10.8055555556	89.1944444444
allData_balance_Test_Dl15_500	Kr	0	100
allData_balance_Test_Dl09_1000	vnd	0	100
allData_balance_Test_Twi14_1000	vnd	12.5	87.5
allData_balance_Test_Twi14_1500	brk	12.2222222222	87.7777777778
allData_balance_Test_Dl09_1500	vnd	0	100
allData_balance_Test_Dl15_1500	hb	50	50
allData_balance_Test_Dl09_500	Kni	0	100
allData_balance_Test_Dl15_500	Kni	0	100
allData_balance_Test_Twi14_500	sog	0	100
allData_balance_Test_Dl15_1000	Kr	0	100
allData_balance_Test_Dl15_2000	sog	50	50
allData_balance_Test_Twi14_500	vnd	0	100
allData_balance_Test_Twi14_1500	sog	66.6666666667	33.3333333333
allData_balance_Test_Twi14_1500	Kni	0	100
allData_balance_Test_Twi14_1000	hb	12.9246031746	87.0753968254
allData_balance_Test_Twi14_1500	eve	0	100
allData_balance_Test_Twi14_1000	sna	0	100
allData_balance_Test_Twi14_1500	hb	25	75
allData_balance_Test_Zld_1000	sna	12.5	87.5
allData_balance_Test_Dl15_1500	sog	66.6666666667	33.3333333333
allData_balance_Test_Zld_2000	vnd	25	75
allData_balance_Test_Dl09_1500	Kr	0	100
allData_balance_Test_Dl15_1500	Kni	25	75
allData_balance_Test_Zld_500	sna	0	100
allData_balance_Test_Dl15_1000	sog	66.6666666667	33.3333333333
allData_balance_Test_Dl15_1000	eve	66	34
allData_balance_Test_Dl09_1000	eve	0	100
allData_balance_Test_Twi14_1000	Kr	0	100
allData_balance_Test_Dl09_2000	sog	33.3333333333	66.6666666667
allData_balance_Test_Dl09_2000	vnd	0	100
allData_balance_Test_Dl15_1000	brk	0	100
allData_balance_Test_Twi14_500	hb	0	100
allData_balance_Test_Dl09_1500	eve	0	100
allData_balance_Test_Dl15_1500	Kr	50	50
allData_balance_Test_Zld_1000	rho	0	100
allData_balance_Test_Zld_1500	hb	20	80
allData_balance_Test_Twi14_2000	vnd	40	60
allData_balance_Test_Dl09_500	vnd	0	100
allData_balance_Test_Twi14_500	brk	0	100
allData_balance_Test_Zld_1500	Kr	10.2222222222	89.7777777778
allData_balance_Test_Dl09_1000	rho	0	100
allData_balance_Test_Twi14_1000	rho	0	100
allData_balance_Test_Twi14_1500	vnd	14.2857142857	85.7142857143
allData_balance_Test_Dl09_1000	hb	21	79
allData_balance_Test_Dl09_500	sog	0	100
allData_balance_Test_Zld_1000	vnd	0	100
allData_balance_Test_Dl09_1000	Kr	0	100
allData_balance_Test_Twi14_1000	Kni	0	100
allData_balance_Test_Twi14_1000	brk	9.9292929293	90.0707070707
allData_balance_Test_Zld_2000	eve	0	100
allData_balance_Test_Zld_1500	Kni	30	70
allData_balance_Test_Dl15_1000	Kni	0	100
allData_balance_Test_Zld_500	sog	25	75
allData_balance_Test_Dl09_1500	hb	21.3333333333	78.6666666667
allData_balance_Test_Zld_2000	Kr	20.4444444444	79.5555555556
allData_balance_Test_Zld_1000	sog	25	75
allData_balance_Test_Dl09_2000	Kr	0	100
allData_balance_Test_Zld_2000	sna	25	75
allData_balance_Test_Twi14_2000	brk	0	100
allData_balance_Test_Twi14_500	Kr	0	100
allData_balance_Test_Twi14_2000	sog	66.6666666667	33.3333333333
allData_balance_Test_Twi14_2000	eve	18.3333333333	81.6666666667
allData_balance_Test_Zld_2000	rho	0	100
allData_balance_Test_Zld_1500	rho	16.6666666667	83.3333333333
allData_balance_Test_Dl15_2000	rho	100	0
allData_balance_Test_Dl09_1500	rho	0	100
allData_balance_Test_Dl09_1500	sna	0	100
allData_balance_Test_Dl15_1500	rho	50	50
allData_balance_Test_Dl09_2000	brk	16.6666666667	83.3333333333
allData_balance_Test_Zld_500	Kni	0	100
allData_balance_Test_Dl15_1500	vnd	50	50
allData_balance_Test_Zld_2000	Kni	0	100
allData_balance_Test_Dl09_2000	eve	0	100
allData_balance_Test_Dl15_500	sog	0	100
allData_balance_Test_Zld_500	rho	0	100
allData_balance_Test_Dl15_500	brk	0	100
allData_balance_Test_Zld_1500	vnd	0	100
allData_balance_Test_Zld_1000	hb	20	80
allData_balance_Test_Zld_1000	Kni	0	100
allData_balance_Test_Twi14_2000	rho	0	100
allData_balance_Test_Dl09_500	brk	0	100
allData_balance_Test_Dl09_1500	sog	33.3333333333	66.6666666667
allData_balance_Test_Zld_500	brk	0	100
allData_balance_Test_Twi14_500	Kni	0	100
allData_balance_Test_Dl15_1000	hb	25	75
allData_balance_Test_Dl15_2000	Kni	0	100
allData_balance_Test_Dl09_1500	brk	0	100
allData_balance_Test_Twi14_2000	Kni	0	100
allData_balance_Test_Dl15_2000	vnd	100	0
allData_balance_Test_Dl15_1000	vnd	50	50
allData_balance_Test_Dl09_2000	Kni	0	100
allData_balance_Test_Dl09_500	eve	0	100
allData_balance_Test_Dl09_500	rho	0	100
allData_balance_Test_Twi14_2000	Kr	11.3888888889	88.6111111111
allData_balance_Test_Dl15_500	hb	0	100
allData_balance_Test_Dl15_2000	sna	33.3333333333	66.6666666667
allData_balance_Test_Zld_500	Kr	0	100
allData_balance_Test_Twi14_500	sna	0	100
allData_balance_Test_Zld_1500	sog	33.3333333333	66.6666666667
allData_balance_Test_Dl09_500	Kr	0	100
allData_balance_Test_Dl09_1000	brk	0	100
allData_balance_Test_Dl15_1500	sna	16.6666666667	83.3333333333
allData_balance_Test_Zld_1500	brk	12.5	87.5
allData_balance_Test_Zld_1500	eve	0	100
allData_balance_Test_Dl15_500	rho	0	100
allData_balance_Test_Zld_1000	eve	0	100
allData_balance_Test_Twi14_2000	hb	25	75
allData_balance_Test_Dl15_500	eve	0	100
allData_balance_Test_Dl09_1000	Kni	0	100
allData_balance_Test_Twi14_1500	rho	25	75
allData_balance_Test_Dl09_1000	sog	33.3333333333	66.6666666667
allData_balance_Test_Dl15_2000	eve	41.6666666667	58.3333333333
allData_balance_Test_Dl15_2000	hb	50	50
allData_balance_Test_Zld_1000	brk	12.6785714286	87.3214285714
allData_balance_Test_Dl15_1500	eve	66	34
allData_balance_Test_Twi14_2000	sna	25	75
allData_balance_Test_Zld_500	eve	0	100
allData_balance_Test_Zld_2000	sog	33.3333333333	66.6666666667
allData_balance_Test_Dl09_2000	sna	16.6666666667	83.3333333333
allData_balance_Test_Zld_1500	sna	25	75
allData_balance_Test_Dl09_1500	Kni	0	100
allData_balance_Test_Zld_500	hb	0	100
allData_balance_Test_Zld_2000	brk	28.5714285714	71.4285714286
allData_balance_Test_Dl15_2000	Kr	50	50
allData_balance_Test_Dl15_500	sna	0	100
allData_balance_Test_Dl15_1000	sna	0	100
allData_balance_Test_Twi14_500	eve	0	100
allData_balance_Test_Dl09_1000	sna	0	100
allData_balance_Test_Zld_2000	hb	20	80
random_data_Test_Zld_500	vnd	0	100
random_data_Test_Twi14_500	rho	0	100
random_data_Test_Twi14_1000	eve	17.3611111111	82.6388888889
random_data_Test_Dl15_1500	brk	29.1666666667	60.8333333333
random_data_Test_Dl15_1000	rho	20	60
random_data_Test_Dl15_500	vnd	0	100
random_data_Test_Dl15_2000	brk	35	65
random_data_Test_Dl09_500	sna	0	100
random_data_Test_Twi14_1500	sna	13.9404761905	86.0595238095
random_data_Test_Dl09_2000	hb	11.3452380952	88.6547619048
random_data_Test_Dl09_500	hb	0	100
random_data_Test_Dl09_2000	rho	0	100
random_data_Test_Twi14_1000	sog	66.6666666667	33.3333333333
random_data_Test_Zld_1000	Kr	0	100
random_data_Test_Twi14_1500	Kr	12.2222222222	87.7777777778
random_data_Test_Dl15_500	Kr	0	100
random_data_Test_Dl09_1000	vnd	0	100
random_data_Test_Twi14_1000	vnd	15.2142857143	84.7857142857
random_data_Test_Twi14_1500	brk	14.123015873	85.876984127
random_data_Test_Dl09_1500	vnd	0	100
random_data_Test_Dl15_1500	hb	60	40
random_data_Test_Dl09_500	Kni	0	100
random_data_Test_Dl15_500	Kni	0	100
random_data_Test_Twi14_500	sog	0	100
random_data_Test_Dl15_1000	Kr	0	100
random_data_Test_Dl15_2000	sog	40	50
random_data_Test_Twi14_500	vnd	0	100
random_data_Test_Twi14_1500	sog	66.6666666667	33.3333333333
random_data_Test_Twi14_1500	Kni	0	100
random_data_Test_Twi14_1000	hb	10.4696969697	89.5303030303
random_data_Test_Twi14_1500	eve	0	100
random_data_Test_Twi14_1000	sna	0	100
random_data_Test_Twi14_1500	hb	19.5	80.5
random_data_Test_Zld_1000	sna	15.630952381	84.369047619
random_data_Test_Dl15_1500	sog	73.3333333333	26.6666666667
random_data_Test_Zld_2000	vnd	22.5	77.5
random_data_Test_Dl09_1500	Kr	0	100
random_data_Test_Dl15_1500	Kni	30.8333333333	69.1666666667
random_data_Test_Zld_500	sna	0	100
random_data_Test_Dl15_1000	sog	78.3333333333	21.6666666667
random_data_Test_Dl15_1000	eve	58.5	41.5
random_data_Test_Dl09_1000	eve	0	100
random_data_Test_Twi14_1000	Kr	0	100
random_data_Test_Dl09_2000	sog	25	65
random_data_Test_Dl09_2000	vnd	0	100
random_data_Test_Dl15_1000	brk	0	100
random_data_Test_Twi14_500	hb	0	100
random_data_Test_Dl09_1500	eve	0	100
random_data_Test_Dl15_1500	Kr	45	55
random_data_Test_Zld_1000	rho	0	100
random_data_Test_Zld_1500	hb	19.6666666667	80.3333333333
random_data_Test_Twi14_2000	vnd	41.5	58.5
random_data_Test_Dl09_500	vnd	0	100
random_data_Test_Twi14_500	brk	0	100
random_data_Test_Zld_1500	Kr	11.7222222222	88.2777777778
random_data_Test_Dl09_1000	rho	0	100
random_data_Test_Twi14_1000	rho	0	90
random_data_Test_Twi14_1500	vnd	26.3095238095	73.6904761905
random_data_Test_Dl09_1000	hb	11.3452380952	88.6547619048
random_data_Test_Dl09_500	sog	0	90
random_data_Test_Zld_1000	vnd	0	100
random_data_Test_Dl09_1000	Kr	0	100
random_data_Test_Twi14_1000	Kni	0	100
random_data_Test_Twi14_1000	brk	14.1078643579	85.8921356421
random_data_Test_Zld_2000	eve	0	100
random_data_Test_Zld_1500	Kni	28.3333333333	71.6666666667
random_data_Test_Dl15_1000	Kni	0	100
random_data_Test_Zld_500	sog	29.1666666667	70.8333333333
random_data_Test_Dl09_1500	hb	11.1666666667	88.8333333333
random_data_Test_Zld_2000	Kr	23.5238095238	76.4761904762
random_data_Test_Zld_1000	sog	30	70
random_data_Test_Dl09_2000	Kr	0	100
random_data_Test_Zld_2000	sna	27.3333333333	72.6666666667
random_data_Test_Twi14_2000	brk	0	100
random_data_Test_Twi14_500	Kr	0	100
random_data_Test_Twi14_2000	sog	65	35
random_data_Test_Twi14_2000	eve	14.3333333333	85.6666666667
random_data_Test_Zld_2000	rho	0	100
random_data_Test_Zld_1500	rho	8.1904761905	91.8095238095
random_data_Test_Dl15_2000	rho	30	0
random_data_Test_Dl09_1500	rho	0	100
random_data_Test_Dl09_1500	sna	0	100
random_data_Test_Dl15_1500	rho	30	40
random_data_Test_Dl09_2000	brk	30.6666666667	69.3333333333
random_data_Test_Zld_500	Kni	0	100
random_data_Test_Dl15_1500	vnd	65	35
random_data_Test_Zld_2000	Kni	0	100
random_data_Test_Dl09_2000	eve	0	100
random_data_Test_Dl15_500	sog	0	100
random_data_Test_Zld_500	rho	0	100
random_data_Test_Dl15_500	brk	0	100
random_data_Test_Zld_1500	vnd	0	100
random_data_Test_Zld_1000	hb	19.3333333333	80.6666666667
random_data_Test_Zld_1000	Kni	0	100
random_data_Test_Twi14_2000	rho	0	100
random_data_Test_Dl09_500	brk	0	100
random_data_Test_Dl09_1500	sog	28.3333333333	61.6666666667
random_data_Test_Zld_500	brk	0	100
random_data_Test_Twi14_500	Kni	0	100
random_data_Test_Dl15_1000	hb	29.1666666667	70.8333333333
random_data_Test_Dl15_2000	Kni	0	100
random_data_Test_Dl09_1500	brk	0	100
random_data_Test_Twi14_2000	Kni	0	100
random_data_Test_Dl15_2000	vnd	100	0
random_data_Test_Dl15_1000	vnd	60	40
random_data_Test_Dl09_2000	Kni	0	100
random_data_Test_Dl09_500	eve	0	100
random_data_Test_Dl09_500	rho	0	100
random_data_Test_Twi14_2000	Kr	11.2896825397	88.7103174603
random_data_Test_Dl15_500	hb	0	100
random_data_Test_Dl15_2000	sna	37.8333333333	62.1666666667
random_data_Test_Zld_500	Kr	0	100
random_data_Test_Twi14_500	sna	0	100
random_data_Test_Zld_1500	sog	25	75
random_data_Test_Dl09_500	Kr	0	100
random_data_Test_Dl09_1000	brk	0	100
random_data_Test_Dl15_1500	sna	20.5	79.5
random_data_Test_Zld_1500	brk	16.8452380952	83.1547619048
random_data_Test_Zld_1500	eve	0	100
random_data_Test_Dl15_500	rho	0	80
random_data_Test_Zld_1000	eve	0	100
random_data_Test_Twi14_2000	hb	20.5	79.5
random_data_Test_Dl15_500	eve	0	100
random_data_Test_Dl09_1000	Kni	0	100
random_data_Test_Twi14_1500	rho	15.8333333333	74.1666666667
random_data_Test_Dl09_1000	sog	33.3333333333	66.6666666667
random_data_Test_Dl15_2000	eve	38.3333333333	61.6666666667
random_data_Test_Dl15_2000	hb	65	35
random_data_Test_Zld_1000	brk	20.6904761905	79.3095238095
random_data_Test_Dl15_1500	eve	55.3333333333	44.6666666667
random_data_Test_Twi14_2000	sna	24.880952381	75.119047619
random_data_Test_Zld_500	eve	0	100
random_data_Test_Zld_2000	sog	25	75
random_data_Test_Dl09_2000	sna	18.1666666667	81.8333333333
random_data_Test_Zld_1500	sna	28.2142857143	71.7857142857
random_data_Test_Dl09_1500	Kni	0	100
random_data_Test_Zld_500	hb	0	100
random_data_Test_Zld_2000	brk	31.8571428571	68.1428571429
random_data_Test_Dl15_2000	Kr	40	50
random_data_Test_Dl15_500	sna	0	100
random_data_Test_Dl15_1000	sna	0	100
random_data_Test_Twi14_500	eve	0	100
random_data_Test_Dl09_1000	sna	0	100
random_data_Test_Zld_2000	hb	18	82
Dl_chip_Test_Zld_500	vnd	0	100
Dl_chip_Test_Twi14_500	rho	0	100
Dl_chip_Test_Twi14_1000	eve	29.5238095238	70.4761904762
Dl_chip_Test_Dl15_1500	brk	37.5	62.5
Dl_chip_Test_Dl15_1000	rho	65	35
Dl_chip_Test_Dl15_500	vnd	0	100
Dl_chip_Test_Dl15_2000	brk	36.6666666667	63.3333333333
Dl_chip_Test_Dl09_500	sna	0	100
Dl_chip_Test_Twi14_1500	sna	15.2380952381	84.7619047619
Dl_chip_Test_Dl09_2000	hb	27.5	72.5
Dl_chip_Test_Dl09_500	hb	0	100
Dl_chip_Test_Dl09_2000	rho	0	100
Dl_chip_Test_Twi14_1000	sog	80	20
Dl_chip_Test_Zld_1000	Kr	0	100
Dl_chip_Test_Twi14_1500	Kr	14.496031746	85.503968254
Dl_chip_Test_Dl15_500	Kr	0	100
Dl_chip_Test_Dl09_1000	vnd	0	80
Dl_chip_Test_Twi14_1000	vnd	16.6904761905	83.3095238095
Dl_chip_Test_Twi14_1500	brk	20.7619047619	79.2380952381
Dl_chip_Test_Dl09_1500	vnd	0	80
Dl_chip_Test_Dl15_1500	hb	55	45
Dl_chip_Test_Dl09_500	Kni	0	90
Dl_chip_Test_Dl15_500	Kni	0	100
Dl_chip_Test_Twi14_500	sog	0	100
Dl_chip_Test_Dl15_1000	Kr	0	100
Dl_chip_Test_Dl15_2000	sog	45	55
Dl_chip_Test_Twi14_500	vnd	0	100
Dl_chip_Test_Twi14_1500	sog	80	20
Dl_chip_Test_Twi14_1500	Kni	0	100
Dl_chip_Test_Twi14_1000	hb	17.7857142857	82.2142857143
Dl_chip_Test_Twi14_1500	eve	0	100
Dl_chip_Test_Twi14_1000	sna	0	100
Dl_chip_Test_Twi14_1500	hb	30	70
Dl_chip_Test_Zld_1000	sna	14.3214285714	85.6785714286
Dl_chip_Test_Dl15_1500	sog	78.3333333333	21.6666666667
Dl_chip_Test_Zld_2000	vnd	32.5	67.5
Dl_chip_Test_Dl09_1500	Kr	0	100
Dl_chip_Test_Dl15_1500	Kni	25	75
Dl_chip_Test_Zld_500	sna	0	100
Dl_chip_Test_Dl15_1000	sog	78.3333333333	21.6666666667
Dl_chip_Test_Dl15_1000	eve	70.5	29.5
Dl_chip_Test_Dl09_1000	eve	0	90
Dl_chip_Test_Twi14_1000	Kr	0	100
Dl_chip_Test_Dl09_2000	sog	31.6666666667	68.3333333333
Dl_chip_Test_Dl09_2000	vnd	0	80
Dl_chip_Test_Dl15_1000	brk	0	100
Dl_chip_Test_Twi14_500	hb	0	100
Dl_chip_Test_Dl09_1500	eve	0	100
Dl_chip_Test_Dl15_1500	Kr	50	50
Dl_chip_Test_Zld_1000	rho	0	100
Dl_chip_Test_Zld_1500	hb	28.6666666667	71.3333333333
Dl_chip_Test_Twi14_2000	vnd	53	47
Dl_chip_Test_Dl09_500	vnd	0	80
Dl_chip_Test_Twi14_500	brk	0	100
Dl_chip_Test_Zld_1500	Kr	13.7063492063	86.2936507937
Dl_chip_Test_Dl09_1000	rho	0	100
Dl_chip_Test_Twi14_1000	rho	0	100
Dl_chip_Test_Twi14_1500	vnd	17.1666666667	82.8333333333
Dl_chip_Test_Dl09_1000	hb	27.5	72.5
Dl_chip_Test_Dl09_500	sog	0	100
Dl_chip_Test_Zld_1000	vnd	0	100
Dl_chip_Test_Dl09_1000	Kr	0	100
Dl_chip_Test_Twi14_1000	Kni	0	100
Dl_chip_Test_Twi14_1000	brk	17.0634920635	82.9365079365
Dl_chip_Test_Zld_2000	eve	0	100
Dl_chip_Test_Zld_1500	Kni	30	70
Dl_chip_Test_Dl15_1000	Kni	0	100
Dl_chip_Test_Zld_500	sog	40.8333333333	59.1666666667
Dl_chip_Test_Dl09_1500	hb	27.8333333333	72.1666666667
Dl_chip_Test_Zld_2000	Kr	25.0396825397	74.9603174603
Dl_chip_Test_Zld_1000	sog	35	65
Dl_chip_Test_Dl09_2000	Kr	0	100
Dl_chip_Test_Zld_2000	sna	30.4761904762	69.5238095238
Dl_chip_Test_Twi14_2000	brk	0	100
Dl_chip_Test_Twi14_500	Kr	0	100
Dl_chip_Test_Twi14_2000	sog	80	20
Dl_chip_Test_Twi14_2000	eve	26.3333333333	73.6666666667
Dl_chip_Test_Zld_2000	rho	0	100
Dl_chip_Test_Zld_1500	rho	25.5	74.5
Dl_chip_Test_Dl15_2000	rho	100	0
Dl_chip_Test_Dl09_1500	rho	0	100
Dl_chip_Test_Dl09_1500	sna	0	100
Dl_chip_Test_Dl15_1500	rho	65	35
Dl_chip_Test_Dl09_2000	brk	23.3333333333	76.6666666667
Dl_chip_Test_Zld_500	Kni	0	100
Dl_chip_Test_Dl15_1500	vnd	45	55
Dl_chip_Test_Zld_2000	Kni	0	100
Dl_chip_Test_Dl09_2000	eve	0	100
Dl_chip_Test_Dl15_500	sog	0	100
Dl_chip_Test_Zld_500	rho	0	100
Dl_chip_Test_Dl15_500	brk	0	100
Dl_chip_Test_Zld_1500	vnd	0	100
Dl_chip_Test_Zld_1000	hb	27.5	72.5
Dl_chip_Test_Zld_1000	Kni	0	100
Dl_chip_Test_Twi14_2000	rho	0	100
Dl_chip_Test_Dl09_500	brk	0	100
Dl_chip_Test_Dl09_1500	sog	31.6666666667	68.3333333333
Dl_chip_Test_Zld_500	brk	0	100
Dl_chip_Test_Twi14_500	Kni	0	100
Dl_chip_Test_Dl15_1000	hb	32.5	67.5
Dl_chip_Test_Dl15_2000	Kni	0	100
Dl_chip_Test_Dl09_1500	brk	0	100
Dl_chip_Test_Twi14_2000	Kni	0	100
Dl_chip_Test_Dl15_2000	vnd	100	0
Dl_chip_Test_Dl15_1000	vnd	45	55
Dl_chip_Test_Dl09_2000	Kni	0	90
Dl_chip_Test_Dl09_500	eve	0	90
Dl_chip_Test_Dl09_500	rho	0	100
Dl_chip_Test_Twi14_2000	Kr	16.5952380952	83.4047619048
Dl_chip_Test_Dl15_500	hb	0	100
Dl_chip_Test_Dl15_2000	sna	33.6666666667	66.3333333333
Dl_chip_Test_Zld_500	Kr	0	100
Dl_chip_Test_Twi14_500	sna	0	100
Dl_chip_Test_Zld_1500	sog	35	65
Dl_chip_Test_Dl09_500	Kr	0	100
Dl_chip_Test_Dl09_1000	brk	0	100
Dl_chip_Test_Dl15_1500	sna	17.3333333333	82.6666666667
Dl_chip_Test_Zld_1500	brk	18.3095238095	81.6904761905
Dl_chip_Test_Zld_1500	eve	0	100
Dl_chip_Test_Dl15_500	rho	0	100
Dl_chip_Test_Zld_1000	eve	0	100
Dl_chip_Test_Twi14_2000	hb	35	65
Dl_chip_Test_Dl15_500	eve	0	100
Dl_chip_Test_Dl09_1000	Kni	0	90
Dl_chip_Test_Twi14_1500	rho	30	70
Dl_chip_Test_Dl09_1000	sog	31.6666666667	68.3333333333
Dl_chip_Test_Dl15_2000	eve	45	55
Dl_chip_Test_Dl15_2000	hb	50	50
Dl_chip_Test_Zld_1000	brk	19.8571428571	80.1428571429
